image_path,alt_text,caption,tags
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_0.jpg,"Strongman Eugen Sandow, 1902",A_New_Sandow_Pose_VIIIC_Eugen_Sandow_Wellcome_L0035270_-_restoration.jpg," 1902 photographs of nude people, Male athletics competitors, Strongmen, Topless male strength athletes, Males posing, Topless male bodybuilders, Leopard (clothing), Eugen Sandow, Male fur clothing, Fur costumes in 1902, Sandow's Magazine of Physical Culture, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_1.jpg,"The School of Athens (1509–1511). Fresco, 550 x 770 cm (18 x 25 ft). Raphael Rooms, Apostolic Palace, Vatican City",The_School_of_Athens_by_Raffaello_Sanzio_da_Urbino.jpg," The School of Athens, Image annotation reference files, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_2.jpg,"An 1856 lithograph of the Selimiye barracks at Scutari as a hospital during the Crimean War where Florence Nightingale worked, by William Simpson",One_of_the_wards_in_the_hospital_at_Scutari._Wellcome_M0007724_-_restorationC_cropped.jpg," Adam Cuerden's restorations, Lithographs in the Wellcome Collection, One of the wards in the hospital at Scutari (William Simpson), "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_3.jpg,,MHNT_Chromatopelma_cyaneopubescens_-_Venezuela_-_Female.jpg," Muséum de Toulouse collection of arachnology, Chromatopelma cyaneopubescens, Spiders of Venezuela, Spiders on white background, Featured pictures of Theraphosidae, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_4.jpg,,00065_sand_collage.jpg," Close-up photographs of sand, Volcanism of Hawaii, Montages (3x3, square), Rocks in Hawaii, Sand in Hawaii, Sand in Estonia, Sand from the Gobi Desert, Sand in Utah, Sand in California, Volcanogenic sediments in the United States, Sand in Idaho, Garnets in the United States, Olivine in the United States, Sand samples, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_5.jpg,Château de Chillon and Dents du Midi at nightfall,001_Chateau_de_Chillon_and_Dents_du_Midi_Photo_by_Giles_Laurent.jpg," Château de Chillon viewed from north, 2020 in the canton of Vaud, Illuminated castles in Europe, Long exposure photographs of Switzerland, Mountains at sunset in Switzerland, Long exposure photography in architecture, Long exposures (water reflections), Buildings during blue hour in Switzerland, Château de Chillon with Dents du Midi, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_6.jpg,Olive-bellied Sunbird starting to fly at Kibale National Park,001_Olive-bellied_Sunbird_starting_to_fly_at_Kibale_National_Park_Photo_by_Giles_Laurent.jpg," Birds of Kibale National Park, Cinnyris chloropygius, Cinnyris feeding on flowers, Unidentified Angiosperms, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_7.jpg,Volcano eruption next to Litli-Hrútur in Iceland in 2023,001_Volcano_eruption_of_Litli-Hr%C3%BAtur_in_Iceland_in_2023_Photo_by_Giles_Laurent.jpg," 2023 Fagradalsfjall eruption, Aerial photographs of volcanic eruptions in Iceland, Keilir, Lava dome fountains, Lava fountains in 2023, Gas bubbles in lava lakes, Volcanism of Europe in 2023, Volcanism of North America in 2023, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_8.jpg,Olive-bellied Sunbird in flight at Kibale forest National Park,003_Olive-bellied_Sunbird_in_flight_at_Kibale_forest_National_Park_Photo_by_Giles_Laurent.jpg," Birds of Kibale National Park, Cinnyris chloropygius, Birds in flight facing right, 1 bird, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_9.jpg,Wild Alpine Ibex and Mont Racine at Creux du Van with snow and sunset colors,003_Wild_Alpine_Ibex_Sunset_Creux_du_Van_Mont_Racine_Photo_by_Giles_Laurent.jpg," Capra ibex on Creux-du-Van, Earth's shadow, Civil twilights, "
